cruise,station,FishSpecies,FishNum,preyNum,preyTaxon,preyTaxa,preySpp,Ocularunits,Mag,prey_mm,Scope,preyCount,gutCount,Comments_prey,Comments_gut,forkLength
201802,154,S_sco,2,9,Metridia,NA,NA,4.1,1.6,2.029702971,M60,NA,605,NA,NA,262
201802,154,S_sco,2,10,Metridia,NA,NA,3.4,1.6,1.683168317,M60,NA,605,NA,NA,262
201802,154,S_sco,2,1,Ostracoda,NA,NA,2.3,2.5,0.72631579,M60,NA,605,NA,NA,262
201802,154,S_sco,2,2,Ostracoda,NA,NA,2.6,2.5,0.821052632,M60,NA,605,NA,NA,262
201802,154,S_sco,2,3,Ostracoda,NA,NA,1.8,2,0.705882353,M60,NA,605,NA,NA,262
201802,154,S_sco,2,4,Ostracoda,NA,NA,0.9,1,0.725806452,M60,NA,605,NA,NA,262
201802,154,S_sco,2,1,Bivalvia,NA,NA,1.4,1,1.129032258,M60,NA,605,NA,NA,262
201802,154,S_sco,2,1,Hyperiidae,Themisto,NA,8.2,1,6.612903227,M60,NA,605,NA,NA,262
201802,154,S_sco,2,1,Mysida,Neomysis,NA,3.4,1,2.741935484,M60,NA,605,NA,NA,262
201802,154,S_sco,2,2,Mysida,Neomysis,NA,3.4,1,2.741935484,M60,NA,605,NA,NA,262
201802,154,S_sco,2,1,CalanoidSmall,Centropages,NA,3.6,2,1.411764707,M60,NA,605,NA,NA,262
201802,154,S_sco,2,2,CalanoidSmall,Centropages,NA,3.2,1.6,1.584158416,M60,NA,605,NA,NA,262
201802,154,S_sco,2,3,CalanoidSmall,Centropages,NA,2.9,1.6,1.435643565,M60,NA,605,NA,NA,262
201802,154,S_sco,2,4,CalanoidSmall,Centropages,NA,3,1.6,1.485148515,M60,NA,605,NA,NA,262
201802,154,S_sco,2,1,Gammaridea,NA,NA,3,1.6,1.485148515,M60,NA,605,NA,NA,262
201802,154,S_sco,2,1,Parasite,NA,NA,15.7,1,12.66129032,M60,NA,605,Roundworm,NA,262
201802,154,S_sco,2,1,CalanoidSmall,Temora,NA,2.3,1.6,1.138613862,M60,NA,605,NA,NA,262
201802,154,S_sco,2,1,Calanus,NA,NA,3.2,1.6,1.584158416,M60,NA,605,Juvenile,NA,262
201802,161,P_tri,2,1,Appendicularia,NA,NA,5,0.63,6.57894737,M60,NA,9,NA,NA,166
201802,170,P_tri,3,0,Empty,NA,NA,NA,NA,,M60,NA,0,NA,NA,91
201802,170,P_tri,1,1,Calanus,NA,NA,4.9,1.25,3.141025641,M60,NA,1,NA,NA,79
201802,208,S_sco,2,1,Gammaridea,Gammarus,NA,10.9,0.63,14.34210527,M60,NA,143,NA,NA,266
201802,208,S_sco,2,2,Gammaridea,Gammarus,NA,7.4,0.63,9.736842108,M60,NA,143,NA,NA,266
201802,208,S_sco,2,3,Gammaridea,Gammarus,NA,9.3,0.63,12.23684211,M60,NA,143,NA,NA,266
201802,208,S_sco,2,4,Gammaridea,Gammarus,NA,9.2,0.63,12.10526316,M60,NA,143,NA,NA,266
201802,208,S_sco,2,5,Gammaridea,Gammarus,NA,8.6,0.63,11.31578948,M60,NA,143,NA,NA,266
201802,208,S_sco,2,6,Gammaridea,Gammarus,NA,9.9,0.63,13.02631579,M60,NA,143,NA,NA,266
201802,208,S_sco,2,7,Gammaridea,Gammarus,NA,7.5,0.63,9.868421055,M60,NA,143,NA,NA,266
201802,208,S_sco,2,8,Gammaridea,Gammarus,NA,8.5,0.63,11.18421053,M60,NA,143,NA,NA,266
201802,208,S_sco,2,9,Gammaridea,Gammarus,NA,7.1,0.63,9.342105265,M60,NA,143,NA,NA,266
201802,208,S_sco,2,1,Gammaridea,NA,NA,2.7,1.6,1.336633664,M60,NA,143,juvenile,NA,266
201802,208,S_sco,2,2,Gammaridea,NA,NA,1.9,1.6,0.94059406,M60,NA,143,juvenile,NA,266
201802,208,S_sco,2,3,Gammaridea,NA,NA,1.7,1.6,0.841584159,M60,NA,143,juvenile,NA,266
201802,208,S_sco,2,4,Gammaridea,NA,NA,2.6,1.6,1.287128713,M60,NA,143,juvenile,NA,266
201802,208,S_sco,2,5,Gammaridea,NA,NA,2.3,1.6,1.138613862,M60,NA,143,juvenile,NA,266
201802,208,S_sco,2,6,Gammaridea,NA,NA,2.6,1.6,1.287128713,M60,NA,143,juvenile,NA,266
201802,208,S_sco,2,7,Gammaridea,NA,NA,2.8,1.6,1.386138614,M60,NA,143,juvenile,NA,266
201802,208,S_sco,2,8,Gammaridea,NA,NA,2.5,1.6,1.237623763,M60,NA,143,juvenile,NA,266
201802,208,S_sco,2,9,Gammaridea,NA,NA,2,2,0.784313726,M60,NA,143,juvenile,NA,266
201802,208,S_sco,2,10,Gammaridea,NA,NA,3.4,1.6,1.683168317,M60,NA,143,juvenile,NA,266
201802,208,S_sco,2,1,Caligidae,NA,NA,4.8,1.25,3.076923077,M60,NA,143,NA,NA,266
201802,208,S_sco,2,2,Caligidae,NA,NA,4,1.25,2.564102564,M60,NA,143,NA,NA,266
201802,208,S_sco,2,3,Caligidae,NA,NA,6.9,1.25,4.423076923,M60,NA,143,NA,NA,266
201802,208,S_sco,2,4,Caligidae,NA,NA,5.1,1.25,3.269230769,M60,NA,143,NA,NA,266
201802,208,S_sco,2,5,Caligidae,NA,NA,3.2,0.63,4.210526317,M60,NA,143,NA,NA,266
201802,208,S_sco,2,6,Caligidae,NA,NA,2.7,0.63,3.55263158,M60,NA,143,NA,NA,266
201802,208,S_sco,2,7,Caligidae,NA,NA,4.4,0.63,5.789473686,M60,NA,143,NA,NA,266
201802,208,S_sco,2,8,Caligidae,NA,NA,3.4,0.63,4.473684212,M60,NA,143,NA,NA,266
201802,208,S_sco,2,1,FishRemains,NA,NA,27.2,0.63,35.78947369,M60,NA,143,NA,NA,266
201802,208,S_sco,2,2,FishRemains,NA,NA,14.6,0.63,19.21052632,M60,NA,143,NA,NA,266
201802,208,S_sco,2,3,FishRemains,NA,NA,21.3,0.63,28.0263158,M60,NA,143,NA,NA,266
201802,208,S_sco,2,4,FishRemains,NA,NA,23.2,0.63,30.5263158,M60,NA,143,NA,NA,266
201802,208,S_sco,2,5,FishRemains,NA,NA,19.7,0.63,25.92105264,M60,NA,143,NA,NA,266
201802,208,S_sco,2,6,FishRemains,NA,NA,31.6,0.63,41.57894738,M60,NA,143,NA,NA,266
201802,208,S_sco,2,7,FishRemains,NA,NA,27.6,0.63,36.31578948,M60,NA,143,NA,NA,266
201802,208,S_sco,2,8,FishRemains,NA,NA,23.6,0.63,31.05263159,M60,NA,143,NA,NA,266
201802,208,S_sco,2,9,FishRemains,NA,NA,18.8,0.63,24.73684211,M60,NA,143,NA,NA,266
201802,208,S_sco,2,10,FishRemains,NA,NA,31.3,0.63,41.18421054,M60,NA,143,NA,NA,266
201802,149,A_pse,1,1,Hyperiidae,Themisto,NA,15.8,1.25,10.12820513,M60,NA,406,NA,NA,238
201802,149,A_pse,1,2,Hyperiidae,Themisto,NA,8.3,1.25,5.32051282,M60,NA,406,NA,NA,238
201802,149,A_pse,1,3,Hyperiidae,Themisto,NA,5.5,1.25,3.525641026,M60,NA,406,NA,NA,238
201802,149,A_pse,1,4,Hyperiidae,Themisto,NA,10.8,1.25,6.923076923,M60,NA,406,NA,NA,238
201802,149,A_pse,1,5,Hyperiidae,Themisto,NA,9.9,1.25,6.346153846,M60,NA,406,NA,NA,238
201802,149,A_pse,1,6,Hyperiidae,Themisto,NA,11.2,1.25,7.179487179,M60,NA,406,NA,NA,238
201802,149,A_pse,1,7,Hyperiidae,Themisto,NA,11.4,1.25,7.307692307,M60,NA,406,NA,NA,238
201802,149,A_pse,1,8,Hyperiidae,Themisto,NA,11.5,1.25,7.371794872,M60,NA,406,NA,NA,238
201802,149,A_pse,1,9,Hyperiidae,Themisto,NA,13.3,1.25,8.525641025,M60,NA,406,NA,NA,238
201802,149,A_pse,1,10,Hyperiidae,Themisto,NA,14,1.25,8.974358974,M60,NA,406,NA,NA,238
201802,149,A_pse,1,1,Hyperiidae,Themisto,NA,1.9,1.25,1.217948718,M60,NA,406,juvenile,NA,238
201802,149,A_pse,1,2,Hyperiidae,Themisto,NA,2,1.25,1.282051282,M60,NA,406,juvenile,NA,238
201802,149,A_pse,1,3,Hyperiidae,Themisto,NA,1.3,1.25,0.833333333,M60,NA,406,juvenile,NA,238
201802,149,A_pse,1,4,Hyperiidae,Themisto,NA,1.6,1.25,1.025641026,M60,NA,406,juvenile,NA,238
201802,149,A_pse,1,5,Hyperiidae,Themisto,NA,1.6,1.25,1.025641026,M60,NA,406,juvenile,NA,238
201802,149,A_pse,1,6,Hyperiidae,Themisto,NA,1.8,1.25,1.153846154,M60,NA,406,juvenile,NA,238
201802,149,A_pse,1,7,Hyperiidae,Themisto,NA,0.8,1.25,0.512820513,M60,NA,406,juvenile,NA,238
201802,149,A_pse,1,8,Hyperiidae,Themisto,NA,1.2,1.25,0.769230769,M60,NA,406,juvenile,NA,238
201802,149,A_pse,1,9,Hyperiidae,Themisto,NA,1.5,1.25,0.961538462,M60,NA,406,juvenile,NA,238
201802,149,A_pse,1,10,Hyperiidae,Themisto,NA,2,1.25,1.282051282,M60,NA,406,juvenile,NA,238
201802,149,A_pse,1,1,Caligidae,NA,NA,6.4,1.25,4.102564102,M60,NA,406,NA,NA,238
201802,149,A_pse,1,2,Caligidae,NA,NA,3.8,1.25,2.435897436,M60,NA,406,NA,NA,238
201802,149,A_pse,1,3,Caligidae,NA,NA,5.4,1.25,3.461538461,M60,NA,406,NA,NA,238
201802,149,A_pse,1,4,Caligidae,NA,NA,2.7,1.25,1.730769231,M60,NA,406,NA,NA,238
201802,149,A_pse,1,5,Caligidae,NA,NA,3.8,1.25,2.435897436,M60,NA,406,NA,NA,238
201802,149,A_pse,1,6,Caligidae,NA,NA,2.2,1.25,1.41025641,M60,NA,406,NA,NA,238
201802,149,A_pse,1,7,Caligidae,NA,NA,1.5,1.25,0.961538462,M60,NA,406,NA,NA,238
201802,149,A_pse,1,8,Caligidae,NA,NA,6.7,1.25,4.294871795,M60,NA,406,NA,NA,238
201802,149,A_pse,1,9,Caligidae,NA,NA,4,1.25,2.564102564,M60,NA,406,NA,NA,238
201802,149,A_pse,1,10,Caligidae,NA,NA,5.3,1.25,3.397435897,M60,NA,406,NA,NA,238
201802,149,A_pse,1,1,Cirripedia,NA,NA,4.8,1.25,3.076923077,M60,NA,406,Cyprid,NA,238
201802,149,A_pse,1,2,Cirripedia,NA,NA,1.6,1.25,1.025641026,M60,NA,406,Cyprid,NA,238
201802,149,A_pse,1,3,Cirripedia,NA,NA,1.4,1.25,0.897435897,M60,NA,406,Cyprid,NA,238
201802,149,A_pse,1,4,Cirripedia,NA,NA,1.6,1.25,1.025641026,M60,NA,406,Cyprid,NA,238
201802,149,A_pse,1,5,Cirripedia,NA,NA,1.5,1.25,0.961538462,M60,NA,406,Cyprid,NA,238
201802,149,A_pse,1,6,Cirripedia,NA,NA,1.7,1.25,1.08974359,M60,NA,406,Cyprid,NA,238
201802,149,A_pse,1,7,Cirripedia,NA,NA,1.8,1.25,1.153846154,M60,NA,406,Cyprid,NA,238
201802,149,A_pse,1,8,Cirripedia,NA,NA,1.4,1.25,0.897435897,M60,NA,406,Cyprid,NA,238
201802,149,A_pse,1,1,FishRemains,NA,NA,30.4,0.63,40.00000001,M60,NA,406,NA,NA,238
201802,149,A_pse,1,2,FishRemains,NA,NA,22.1,0.63,29.07894738,M60,NA,406,NA,NA,238
201802,149,A_pse,1,3,FishRemains,NA,NA,21.4,0.63,28.15789474,M60,NA,406,NA,NA,238
201802,149,A_pse,1,1,CalanoidSmall,NA,NA,2.6,1.25,1.666666667,M60,NA,406,NA,NA,238
201802,149,A_pse,1,2,CalanoidSmall,NA,NA,4.9,4,0.97029703,M60,NA,406,NA,NA,238
201802,149,A_pse,1,3,CalanoidSmall,NA,NA,4.1,3.2,1,M60,NA,406,NA,NA,238
201802,149,A_pse,1,1,Gammaridea,Gammarus,NA,6.8,0.63,8.947368423,M60,NA,406,NA,NA,238
201802,149,A_pse,1,2,Gammaridea,Gammarus,NA,10.1,1.25,6.474358974,M60,NA,406,NA,NA,238
201802,149,A_pse,1,3,Gammaridea,Gammarus,NA,9.3,0.8,9.3,M60,NA,406,NA,NA,238
201802,149,A_pse,1,4,Gammaridea,Gammarus,NA,7.1,0.63,9.342105265,M60,NA,406,NA,NA,238
201802,149,A_pse,1,5,Gammaridea,Gammarus,NA,11.9,1.25,7.628205128,M60,NA,406,NA,NA,238
201802,149,A_pse,1,6,Gammaridea,Gammarus,NA,6.4,0.63,8.421052634,M60,NA,406,NA,NA,238
201802,149,A_pse,1,7,Gammaridea,Gammarus,NA,8.6,0.63,11.31578948,M60,NA,406,NA,NA,238
201802,149,A_pse,1,8,Gammaridea,Gammarus,NA,10,1,8.06451613,M60,NA,406,NA,NA,238
201802,149,A_pse,1,9,Gammaridea,Gammarus,NA,8.2,1,6.612903227,M60,NA,406,NA,NA,238
201802,149,A_pse,1,10,Gammaridea,Gammarus,NA,9.9,0.63,13.02631579,M60,NA,406,NA,NA,238
201802,149,A_pse,1,1,Calanus,NA,NA,4.5,1.25,2.884615385,M60,NA,406,NA,NA,238
201802,149,A_pse,1,1,Bivalvia,NA,NA,0.7,1.25,0.448717949,M60,NA,406,Veliger,NA,238
201802,149,A_pse,1,2,Bivalvia,NA,NA,0.4,1.25,0.256410256,M60,NA,406,Veliger,NA,238
201802,149,A_pse,1,3,Bivalvia,NA,NA,0.4,1.25,0.256410256,M60,NA,406,Veliger,NA,238
201802,149,A_pse,1,1,Calanus,NA,NA,3.8,1.25,2.435897436,M60,NA,406,C5,NA,238
201802,149,A_pse,2,1,Calanus,NA,NA,4.8,1.25,3.076923077,M60,NA,1976,NA,NA,186
201802,149,A_pse,2,2,Calanus,NA,NA,4.9,1.25,3.141025641,M60,NA,1976,NA,NA,186
201802,149,A_pse,2,3,Calanus,NA,NA,4.3,1.25,2.756410256,M60,NA,1976,NA,NA,186
